row_id,integer_col,decimal_col,timestamp_col,boolean_col,holiday_name,business_datetime,created_datetime
1,55,5.1997595830974438e+38,2026-01-06 07:48:25 UTC,false,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
7,64,4.8572119303512681e+37,2026-01-06 07:48:25 UTC,false,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
11,,1.2345678901234568e+39,2026-01-06 07:48:25 UTC,false,Constitution Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
12,,7.8369940541113787e+37,2026-01-06 07:48:25 UTC,false,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
20,,8.70839609213515e+38,2026-01-06 07:48:25 UTC,false,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
24,44,,2026-01-06 07:48:25 UTC,false,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
36,,456.789,2026-01-06 07:48:25 UTC,false,King's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
40,,1.2345678901234568e+39,2026-01-06 07:48:25 UTC,false,New Year's Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
46,35541,8.5559806024088648e+38,2026-01-06 07:48:25 UTC,false,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
52,50,,2026-01-06 07:48:25 UTC,false,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
73,28,456.789,2026-01-06 07:48:25 UTC,false,Constitution Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
90,9,2.8553227617762455e+38,2026-01-06 07:48:25 UTC,false,Chulalongkorn Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
91,,5.4780692724736009e+38,2026-01-06 07:48:25 UTC,false,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
96,,1.2345678901234568e+39,2026-01-06 07:48:25 UTC,false,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
29,98,1.2345678901234568e+39,,true,Labour Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
42,76,,,true,Labour Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
61,,456.789,,true,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
62,,2.1297059309065933e+38,,true,Chulalongkorn Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
68,15,,,true,Royal Ploughing Ceremony,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
69,,,,true,Constitution Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
74,,9.3772119296986721e+38,,true,Royal Ploughing Ceremony,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
86,37,6.1803301263807193e+38,,true,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
92,,2.2677475045546213e+38,,true,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
95,,6.5164386264959422e+38,,true,Constitution Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
98,,1.2345678901234568e+39,,true,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
100,93,,,true,Chulalongkorn Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
16,72,2.0522929551966993e+37,2006-01-26 00:00:00 UTC,true,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
21,79,,2006-01-26 00:00:00 UTC,true,Labour Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
23,68,,2006-01-26 00:00:00 UTC,true,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
26,,,2006-01-26 00:00:00 UTC,true,King's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
32,1,5.8054193606782207e+38,2006-01-26 00:00:00 UTC,true,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
39,27,1.2345678901234568e+39,2006-01-26 00:00:00 UTC,true,Chulalongkorn Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
41,73,1.3183780551969781e+37,2006-01-26 00:00:00 UTC,true,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
50,93,1.0039295266087766e+38,2006-01-26 00:00:00 UTC,true,Labour Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
67,,9.3174379722923984e+38,2006-01-26 00:00:00 UTC,true,New Year's Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
93,,4.731770530678066e+38,2006-01-26 00:00:00 UTC,true,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
13,51,4.1571264602096193e+38,2026-01-06 00:00:00 UTC,true,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
15,,9.7139148535086827e+38,2026-01-06 00:00:00 UTC,true,Queen's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
30,32219,8.6020381245889333e+38,2026-01-06 00:00:00 UTC,true,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
44,92,,2026-01-06 00:00:00 UTC,true,Queen's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
53,27,8.15063792528396e+38,2026-01-06 00:00:00 UTC,true,New Year's Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
55,55,1.2345678901234568e+39,2026-01-06 00:00:00 UTC,true,Queen's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
56,82,,2026-01-06 00:00:00 UTC,true,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
65,58,,2026-01-06 00:00:00 UTC,true,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
71,31,1.1635496107587207e+38,2026-01-06 00:00:00 UTC,true,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
75,70,456.789,2026-01-06 00:00:00 UTC,true,Constitution Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
89,16,,2026-01-06 00:00:00 UTC,true,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
8,26118,6.398789458355355e+38,2026-01-06 07:48:25 UTC,true,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
9,,456.789,2026-01-06 07:48:25 UTC,true,Constitution Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
51,66,2.067258884274067e+38,2026-01-06 07:48:25 UTC,true,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
54,10,,2026-01-06 07:48:25 UTC,true,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
57,92,,2026-01-06 07:48:25 UTC,true,New Year's Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
58,75,5.7187988542687689e+38,2026-01-06 07:48:25 UTC,true,New Year's Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
63,47,,2026-01-06 07:48:25 UTC,true,Makha Bucha,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
66,82,5.9679327097741479e+38,2026-01-06 07:48:25 UTC,true,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
70,82,,2026-01-06 07:48:25 UTC,true,Songkran Festival,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
76,,,2026-01-06 07:48:25 UTC,true,King's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
81,,6.16275044269929e+38,2026-01-06 07:48:25 UTC,true,,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
83,,456.789,2026-01-06 07:48:25 UTC,true,King Bhumibol Memorial Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
84,26,7.9560320363237812e+38,2026-01-06 07:48:25 UTC,true,New Year's Day,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
94,45985,1.0093903255837466e+38,2026-01-06 07:48:25 UTC,true,Royal Ploughing Ceremony,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
97,,4.5252756435766524e+38,2026-01-06 07:48:25 UTC,true,King's Birthday,2026-02-28 12:06:16.241947 UTC,2026-02-28 12:06:16.241947 UTC
